OBJECTID,RptDt,Date,NEG_NEW,NEG_7DAYAVG,POS_CP,IC_Y_80_89_CP,IC_Y_90_CP,TESTS_POS_CONF,TESTS_POS_CONF_NEW,TESTS_POS_CONF_7DAYAVG,PercentNAATPos
851,1/23/2020 2:00:00 PM,1/22/2020,2,2.0,0,0,0,1,1,1.0,25.0
852,1/24/2020 2:00:00 PM,1/23/2020,0,1.0,0,0,0,1,0,0.5,0.0
853,1/25/2020 2:00:00 PM,1/24/2020,1,1.0,0,0,0,1,0,0.33,0.0
854,1/26/2020 2:00:00 PM,1/25/2020,0,0.75,0,0,0,1,0,0.25,0.0
855,1/27/2020 2:00:00 PM,1/26/2020,0,0.6,0,0,0,1,0,0.2,0.0
856,1/28/2020 2:00:00 PM,1/27/2020,4,1.17,0,0,0,3,2,0.5,22.22
857,1/29/2020 2:00:00 PM,1/28/2020,1,1.14,0,0,0,4,1,0.57,12.5
858,1/30/2020 2:00:00 PM,1/29/2020,0,0.86,0,0,0,4,0,0.43,0.0
859,1/31/2020 2:00:00 PM,1/30/2020,2,1.14,0,0,0,4,0,0.43,0.0
860,2/1/2020 2:00:00 PM,1/31/2020,0,1.0,0,0,0,4,0,0.43,0.0
861,2/2/2020 2:00:00 PM,2/1/2020,0,1.0,0,0,0,5,1,0.57,14.29
862,2/3/2020 2:00:00 PM,2/2/2020,1,1.14,0,0,0,6,1,0.71,20.0
863,2/4/2020 2:00:00 PM,2/3/2020,2,0.86,0,0,0,7,1,0.57,10.0
864,2/5/2020 2:00:00 PM,2/4/2020,0,0.71,0,0,0,8,1,0.57,20.0
865,2/6/2020 2:00:00 PM,2/5/2020,4,1.29,1,0,0,13,5,1.29,55.56
866,2/7/2020 2:00:00 PM,2/6/2020,11,2.57,1,0,0,13,0,1.29,0.0
867,2/8/2020 2:00:00 PM,2/7/2020,3,3.0,1,0,0,13,0,1.29,0.0
868,2/9/2020 2:00:00 PM,2/8/2020,0,3.0,1,0,0,15,2,1.43,50.0
869,2/10/2020 2:00:00 PM,2/9/2020,1,3.0,1,0,0,15,0,1.29,0.0
870,2/11/2020 2:00:00 PM,2/10/2020,3,3.14,1,0,0,17,2,1.43,22.22
871,2/12/2020 2:00:00 PM,2/11/2020,3,3.57,1,0,0,17,0,1.29,0.0
872,2/13/2020 2:00:00 PM,2/12/2020,0,3.0,1,0,0,19,2,0.86,15.38
873,2/14/2020 2:00:00 PM,2/13/2020,2,1.71,1,0,0,19,0,0.86,0.0
874,2/15/2020 2:00:00 PM,2/14/2020,0,1.29,1,0,0,19,0,0.86,0.0
875,2/16/2020 2:00:00 PM,2/15/2020,1,1.43,1,0,0,19,0,0.57,0.0
876,2/17/2020 2:00:00 PM,2/16/2020,0,1.29,1,0,0,19,0,0.57,0.0
877,2/18/2020 2:00:00 PM,2/17/2020,0,0.86,1,0,0,20,1,0.43,5.56
878,2/19/2020 2:00:00 PM,2/18/2020,0,0.43,1,0,0,20,0,0.43,0.0
879,2/20/2020 2:00:00 PM,2/19/2020,0,0.43,1,0,0,21,1,0.29,12.5
880,2/21/2020 2:00:00 PM,2/20/2020,1,0.29,1,0,0,22,1,0.43,50.0
881,2/22/2020 2:00:00 PM,2/21/2020,0,0.29,1,0,0,22,0,0.43,0.0
882,2/23/2020 2:00:00 PM,2/22/2020,2,0.43,1,0,0,24,2,0.71,28.57
883,2/24/2020 2:00:00 PM,2/23/2020,0,0.43,1,0,0,24,0,0.71,0.0
884,2/25/2020 2:00:00 PM,2/24/2020,1,0.57,1,0,0,24,0,0.57,0.0
885,2/26/2020 2:00:00 PM,2/25/2020,1,0.71,1,0,0,24,0,0.57,0.0
900,2/27/2020 2:00:00 PM,2/26/2020,0,0.71,1,0,0,24,0,0.43,0.0
901,2/28/2020 2:00:00 PM,2/27/2020,0,0.57,1,0,0,24,0,0.29,0.0
902,2/29/2020 2:00:00 PM,2/28/2020,1,0.71,1,0,0,24,0,0.29,0.0
903,3/1/2020 2:00:00 PM,2/29/2020,1,0.57,1,0,0,24,0,0.0,0.0
904,3/2/2020 2:00:00 PM,3/1/2020,0,0.57,1,0,0,24,0,0.0,0.0
905,3/3/2020 2:00:00 PM,3/2/2020,2,0.71,1,0,0,24,0,0.0,0.0
906,3/4/2020 2:00:00 PM,3/3/2020,4,1.14,1,0,0,24,0,0.0,0.0
907,3/5/2020 2:00:00 PM,3/4/2020,12,2.86,1,0,0,24,0,0.0,0.0
908,3/6/2020 2:00:00 PM,3/5/2020,9,4.14,1,0,0,24,0,0.0,0.0
909,3/7/2020 2:00:00 PM,3/6/2020,8,5.14,1,0,0,24,0,0.0,0.0
910,3/8/2020 2:00:00 PM,3/7/2020,3,5.43,1,0,0,24,0,0.0,0.0
911,3/9/2020 2:00:00 PM,3/8/2020,12,7.14,1,0,0,24,0,0.0,0.0
912,3/10/2020 2:00:00 PM,3/9/2020,18,9.43,1,0,0,24,0,0.0,0.0
913,3/11/2020 2:00:00 PM,3/10/2020,61,17.57,3,0,0,25,1,0.14,5.26
914,3/12/2020 2:00:00 PM,3/11/2020,64,25.0,6,0,0,28,3,0.57,6.52
